id,日本語名,系統,体格,体の向き,向き_度,カメラ,ねらい
knight,騎士,人,小,斜め,35,正面,基準の一枚。まっすぐな騎士。槍が斜めに走る
warrior,戦士,人,小,斜め,35,見下ろし,前傾して斬りかかる瞬間に見せる。踏み込みが出る
berserker,狂戦士,人,小,半身,55,見上げ,横一列を薙ぎ払う。振りかぶりを下から見て圧を出す
spearman,槍兵,人,小,半身,55,正面,長柄が手前から奥へ抜ける。半身が槍の長さを見せる
shieldguard,護衛兵,人,小,浅い斜め,20,見上げ,壁。ほぼ正対だが少しだけ振る。あおりで大きく見せる
paladin,聖騎士,人,小,斜め,35,見上げ,騎士の上位。あおりで格を一段上げる
archer,弓兵,人,小,真横,85,正面,弓を引く姿は真横がいちばん美しい。弧が輪郭になる
rogue,盗賊,人,小,半身,55,見下ろし,低く沈む。上から覗き込むと這っている感じが出る
assassin,暗殺者,人,小,背中側,120,見下ろし,唯一の背面。振り向きざまに斬る。26体で一枚だけの特別
mage,魔法使い,人,小,斜め,35,見上げ,裾が広がって術者の格が出る。実測で効果を確認済み
archmage,大魔法使い,人,小,浅い斜め,20,見上げ,動かず詠唱する者。正対に近づけて、魔法使いより格上に
priest,僧侶,人,小,斜め,35,正面,唯一、完全に対等な目線。人としての温度を出す
highpriest,高僧,人,小,斜め,35,正面,僧侶の上位だが、目線は人に寄り添ったまま
bard,吟遊詩人,人,小,半身,55,正面,楽器を抱えて奏でる。半身が楽器の形を見せる
ogre,オーク,獣,中,斜め,35,見上げ,中の体格。あおりでのしかかる圧を出す
troll,トロール,獣,大,浅い斜め,20,見上げ（強め）,大。正対に近い壁として立ちはだかる。最大級のあおり
werewolf,人狼,獣,小,半身,55,見下ろし,四つ足になりかけた低い姿勢。上から見ると這っている
harpy,ハーピー,獣,中,半身,55,見上げ,飛び立つ者を下から見る。翼が画面の端に届く
valkyrie,ヴァルキリー,神,小,半身,55,見上げ,翔ぶ者。あおりで翼が大きく開いて見える
whelp,幼竜,竜,中,斜め,35,見下ろし,まだ小さい。見下ろすと幼さが出る。竜で唯一の俯瞰
dragon,竜,竜,大,浅い斜め,20,見上げ（最強）,敵専用。最大の威圧。カメラを最も低く置く
shaman,呪術師,邪,小,半身,55,見下ろし,屈んで呪う。見下ろすと卑しさが出る
salamander,サラマンダー,精,小,斜め,35,正面,実体を持たない。角度をつけすぎると存在が固くなる
frost,フリム,精,小,斜め,35,正面,霜が立ち上るだけの姿。浮いているので目線が合う
yeti,イエティ,精,大,浅い斜め,20,見上げ,大。引退中だが、敵として出るときのために
golem,ゴーレム,物,中,浅い斜め,20,見上げ,壁。動かないことが仕事。ほぼ正対。息もしない
